"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/bdayeshabd/10178/,Ayesha Akhter Sharmin,Bidder,,,"Bid ID: 75563032  |  Submitted: Jul 12, 2015 18:29 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/saqibsharif85/10178/,Saqib Sharif,Bidder,,,"Bid ID: 74235168  |  Submitted: Jun 12, 2015 01:15 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/toukiralam/10178/,MD. Toukir Alam,Bidder,,,"Bid ID: 74222189  |  Submitted: Jun 11, 2015 16:17 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 74182045  |  Submitted: Jun 11, 2015 00:29 ET |DeliveryWithin 2 weeks $180.00"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/abduljobbar222/10178/,Abdul Jobbar,Bidder,,,"Bid ID: 74163650  |  Submitted: Jun 10, 2015 14:10 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/sunjeetkumar/10178/,Sunjeet Kumar,Bidder,,,"Bid ID: 74136859  |  Submitted: Jun 10, 2015 04:07 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 74136616  |  Submitted: Jun 10, 2015 04:00 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/akshatgoel/10178/,Digicom Dynamics,Bidder,,,"Bid ID: 73565066  |  Submitted: May 28, 2015 02:43 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/comboapp/10178/,ComboApp,Bidder,,,"Bid ID: 73535085  |  Submitted: May 27, 2015 11:44 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/carlos-arturo/10178/,Carlos Arturo Mendez Calderon,Winner,,,"Bid ID: 73184262  |  Submitted: May 19, 2015 16:45 ET |$25.00"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 73160229  |  Submitted: May 19, 2015 08:29 ET |DeliveryWithin 1 month $493.15"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/virtualbrix/10178/,"Virtualbrix, Inc",Bidder,,,"Bid ID: 73140955  |  Submitted: May 19, 2015 01:07 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/jeevanramjat/10178/,Jeevan Ram Jat,Bidder,,,"Bid ID: 73007349  |  Submitted: May 15, 2015 11:50 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/sudarshanmuli/10178/,Muli Sudarshan Reddy,Bidder,,,"Bid ID: 72978711  |  Submitted: May 14, 2015 21:51 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/admind/10178/,Tyler Whittingham,Bidder,,,"Bid ID: 72973249  |  Submitted: May 14, 2015 17:35 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 72962638  |  Submitted: May 14, 2015 13:20 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/semsolutions1/10178/,Sem S.,Bidder,,,"Bid ID: 72958608  |  Submitted: May 14, 2015 11:52 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/akhilchandra/10178/,Studio Mosaic,Winner,,,"Bid ID: 72958300  |  Submitted: May 14, 2015 11:45 ET |$30.00"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/evolution-soft/10178/,Evolution Soft,Bidder,,,"Bid ID: 72957076  |  Submitted: May 14, 2015 11:17 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/rakeshmw/10178/,Marketing Wallah,Bidder,,,"Bid ID: 72943059  |  Submitted: May 14, 2015 05:56 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/seomedialabs/10178/,SEOMediaLabs,Bidder,,,"Bid ID: 72941458  |  Submitted: May 14, 2015 05:19 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/infrawebsoft/10178/,InfraWebSoft Technologies Pvt...,Bidder,,,"Bid ID: 72939383  |  Submitted: May 14, 2015 04:30 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/bulkemail-expert/10178/,Creative Wings,Winner,,,"Bid ID: 72938815  |  Submitted: May 14, 2015 04:16 ET |DeliveryWithin 3 weeks $273.97"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/flexsin/10178/,Flexsin Technologies,Bidder,,,"Bid ID: 72935262  |  Submitted: May 14, 2015 02:51 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/kirillstorch/10178/,Kirill Storch,Bidder,,,"Bid ID: 72933635  |  Submitted: May 14, 2015 02:12 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/diigit1marketing3/10178/,Digit1 Marketing,Bidder,,,"Bid ID: 72932116  |  Submitted: May 14, 2015 01:33 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/vish___n/10178/,Vishal Nagpal,Bidder,,,"Bid ID: 72931221  |  Submitted: May 14, 2015 01:08 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/amanhk123/10178/,Sankalp Technology,Bidder,,,"Bid ID: 72931003  |  Submitted: May 14, 2015 01:02 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/earnest_77/10178/,Earnest J.,Bidder,,,"Bid ID: 69667329  |  Submitted: Mar  4, 2015 02:09 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/akhilchandra/10178/,Studio Mosaic,Bidder,,,"Bid ID: 69548756  |  Submitted: Mar  2, 2015 03:07 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 69545848  |  Submitted: Mar  2, 2015 01:59 ET |DeliveryWithin 1 month $273.97"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 69521870  |  Submitted: Mar  1, 2015 11:04 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/abilepro/10178/,Abilepro,Bidder,,,"Bid ID: 69492849  |  Submitted: Feb 28, 2015 10:58 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/nikkicruz/10178/,Veronica C.,Bidder,,,"Bid ID: 69492539  |  Submitted: Feb 28, 2015 10:46 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/akshatgoel/10178/,Digicom Dynamics,Bidder,,,"Bid ID: 69488706  |  Submitted: Feb 28, 2015 08:05 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/bulkemail-expert/10178/,Creative Wings,Bidder,,,"Bid ID: 69486285  |  Submitted: Feb 28, 2015 06:12 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/nhosen36/10178/,Nazmul H.,Bidder,Invited,,"Bid ID: 69477499  |  Submitted: Feb 27, 2015 23:56 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/anork-design/10178/,Anork Design,Bidder,Invited,,"Bid ID: 69476399  |  Submitted: Feb 27, 2015 22:59 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing-online-offline/69474269/",https://www.elance.com/s/sunil_karmaker/10178/,Sunil K.,Bidder,Invited,,"Bid ID: 69475687  |  Submitted: Feb 27, 2015 22:20 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/akshatgoel/10178/,Digicom Dynamics,Bidder,,,"Bid ID: 72243192  |  Submitted: Apr 28, 2015 14:46 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/appfillip/10178/,Jagdeep Sharma,Winner,,,"Bid ID: 72219244  |  Submitted: Apr 28, 2015 06:31 ET |$10.96/hr"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 72182640  |  Submitted: Apr 27, 2015 12:52 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/jeevanramjat/10178/,Jeevan Ram Jat,Bidder,,,"Bid ID: 72179542  |  Submitted: Apr 27, 2015 11:49 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/convincedweb/10178/,Apps Network,Bidder,,,"Bid ID: 72177839  |  Submitted: Apr 27, 2015 11:15 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/saqibsharif85/10178/,Saqib Sharif,Bidder,,,"Bid ID: 72177301  |  Submitted: Apr 27, 2015 11:04 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/akhilchandra/10178/,Studio Mosaic,Bidder,,,"Bid ID: 72172389  |  Submitted: Apr 27, 2015 09:23 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/bobanv/10178/,Boban Vulicevic,Bidder,,,"Bid ID: 72168013  |  Submitted: Apr 27, 2015 07:47 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/semsolutions1/10178/,Sem S.,Bidder,,,"Bid ID: 72165530  |  Submitted: Apr 27, 2015 06:51 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/feroz_hasan-rana/10178/,Firoz H.,Bidder,,,"Bid ID: 72163853  |  Submitted: Apr 27, 2015 06:10 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/mon2_rana/10178/,Maninder R.,Bidder,,,"Bid ID: 72163582  |  Submitted: Apr 27, 2015 06:03 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/anoop_chaudhary/10178/,Anoop K.,Bidder,,,"Bid ID: 72162950  |  Submitted: Apr 27, 2015 05:47 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/blossommedia/10178/,Yasir Saeed,Bidder,,,"Bid ID: 72160814  |  Submitted: Apr 27, 2015 04:52 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/bulkemail-expert/10178/,Creative Wings,Bidder,,,"Bid ID: 72159976  |  Submitted: Apr 27, 2015 04:29 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-iphone-android-application/72159327/",https://www.elance.com/s/saka_zitu/10178/,Md. Salauddin Khader Z.,Bidder,Invited,,"Bid ID: 72159605  |  Submitted: Apr 27, 2015 04:19 ET |Proposal SEALED"
"https://www.elance.com/j/market-research-app-store-optimization/69939702/",https://www.elance.com/s/appfillip/10178/,Jagdeep Sharma,Winner,,,"Bid ID: 69940144  |  Submitted: Mar 10, 2015 05:17 ET |DeliveryWithin 1 day $168.00"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/servprof/10178/,Robert Graves,Bidder,,,"Bid ID: 71018299  |  Submitted: Apr  1, 2015 14:52 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/ben7700/10178/,Ben Dolgoff,Bidder,,,"Bid ID: 70977843  |  Submitted: Mar 31, 2015 22:56 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/fsconsulting/10178/,FinalStepMarketing,Bidder,,,"Bid ID: 70973489  |  Submitted: Mar 31, 2015 19:49 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/perryentertainment/10178/,Joshua Perry,Bidder,,,"Bid ID: 70968300  |  Submitted: Mar 31, 2015 16:42 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/mishuldas/10178/,Mishul D.,Bidder,,,"Bid ID: 70966753  |  Submitted: Mar 31, 2015 16:04 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/convincedweb/10178/,Apps Network,Bidder,,,"Bid ID: 70962107  |  Submitted: Mar 31, 2015 14:29 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/gobinda_roy/10178/,Ennovation Consulting,Bidder,,,"Bid ID: 70956094  |  Submitted: Mar 31, 2015 12:38 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 70954668  |  Submitted: Mar 31, 2015 12:13 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/asl-itsecurity/10178/,Jittin C.,Bidder,,,"Bid ID: 70951886  |  Submitted: Mar 31, 2015 11:19 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/bulkemail-expert/10178/,Creative Wings,Bidder,,,"Bid ID: 70937512  |  Submitted: Mar 31, 2015 06:12 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 70933189  |  Submitted: Mar 31, 2015 04:28 ET |DeliveryWithin 1 month $602.74"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/infrawebsoft/10178/,InfraWebSoft Technologies Pvt...,Bidder,,,"Bid ID: 70932582  |  Submitted: Mar 31, 2015 04:11 ET |Proposal SEALED"
"https://www.elance.com/j/marketing-launch-strategy-mobile-app-launch/70927668/",https://www.elance.com/s/nurturinno/10178/,Nurturinno Consulting Private...,Bidder,,,"Bid ID: 70932312  |  Submitted: Mar 31, 2015 04:04 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/saqibsharif85/10178/,Saqib Sharif,Bidder,,,"Bid ID: 62451851  |  Submitted: Sep 19, 2014 14:09 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/asiffareed/10178/,Asif Fareed,Bidder,,,"Bid ID: 62390942  |  Submitted: Sep 18, 2014 09:33 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 62382254  |  Submitted: Sep 18, 2014 06:09 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/bhavana02/10178/,bhavana02,Bidder,,,"Bid ID: 62376001  |  Submitted: Sep 18, 2014 03:21 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/appplanet/10178/,App Planet,Bidder,,,"Bid ID: 62374132  |  Submitted: Sep 18, 2014 02:38 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/shormi555/10178/,Sumiya H.,Bidder,Invited,,"Bid ID: 62373479  |  Submitted: Sep 18, 2014 02:22 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/torikul/10178/,Md. Tarikul I.,Bidder,,,"Bid ID: 62373426  |  Submitted: Sep 18, 2014 02:20 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/62362292/",https://www.elance.com/s/akhilchandra/10178/,Studio Mosaic,Bidder,Invited,,"Bid ID: 62373298  |  Submitted: Sep 18, 2014 02:17 ET |Proposal SEALED"
